year,chla,chla_prevSummer,colour,colour_prevSummer,cyano,rain,TP,TP_prevSummer,wind_speed
1996,21.3,21.883333333333336,17.666666666666668,25.833333333333332,4.8,449.609512642,31.283333333333335,29.45,3.5440217391304363
1997,23.066666666666666,21.3,19.0,17.666666666666668,2.82,420.42937626300005,29.416666666666668,31.283333333333335,3.2369565217391307
1998,21.099999999999998,23.066666666666666,34.71153846153846,19.0,2.28,519.2802700179999,32.36666666666667,29.416666666666668,3.504347826086956
1999,21.633333333333333,21.099999999999998,50.42307692307692,34.71153846153846,5.96,630.476421443,32.516666666666666,32.36666666666667,3.5331521739130474
2000,22.166666666666668,21.633333333333333,42.56,50.42307692307692,4.67,617.6580098779999,32.666666666666664,32.516666666666666,3.5771739130434783
2001,21.03333333333333,22.166666666666668,68.70370370370371,42.56,0.58,511.777686395,38.333333333333336,32.666666666666664,3.634239130434782
2002,25.5,21.03333333333333,54.57692307692308,68.70370370370371,0.982,549.788892476,36.666666666666664,38.333333333333336,3.2624999999999984
2003,16.821428571428573,25.5,42.875,54.57692307692308,1.291,415.38032154800004,33.57142857142857,36.666666666666664,3.51413043478261
2004,25.599999999999998,16.821428571428573,38.666666666666664,42.875,5.26,558.396489496,36.833333333333336,33.57142857142857,3.5264705882352962
2005,20.2,25.599999999999998,46.5,38.666666666666664,3.0625999999999998,471.9703400909999,32.01086956521739,36.833333333333336,3.4666666666666663
2006,29.15416666666667,20.2,48.333333333333336,46.5,4.5602,535.903365983,34.5,32.01086956521739,3.071038251366119
2007,17.944000000000003,29.15416666666667,65.71428571428571,48.333333333333336,3.588,555.647754243,32.16,34.5,3.3950276243093924
2008,15.887500000000003,17.944000000000003,69.0,65.71428571428571,0.739,591.631903338,32.75,32.16,3.0983146067415737
2009,16.343478260869567,15.887500000000003,58.285714285714285,69.0,1.586,489.80945449599994,28.956521739130434,32.75,3.2211956521739125
2010,11.695652173913041,16.343478260869567,61.714285714285715,58.285714285714285,0.224,564.4885336280003,26.347826086956523,28.956521739130434,3.274863387978141
2011,12.188000000000002,11.695652173913041,72.23076923076923,61.714285714285715,0.079,732.3459662370001,26.56,26.347826086956523,3.336956521739135
2012,13.52083333333333,12.188000000000002,64.0,72.23076923076923,0.211,630.3895457469999,26.041666666666668,26.56,3.621428571428571
2013,14.13846153846154,13.52083333333333,60.22307692307693,64.0,0.534,500.99999929600006,22.992307692307694,26.041666666666668,3.567391304347825
2014,12.6,14.13846153846154,41.86363636363637,60.22307692307693,0.283,626.7322040829996,20.3,22.992307692307694,3.519889502762429
2015,14.924999999999997,12.6,52.833333333333336,41.86363636363637,0.233,686.8927072789998,24.25,20.3,3.7711956521739087
2016,9.590909090909092,14.924999999999997,52.0,52.833333333333336,0.166,408.03595516199994,18.75,24.25,3.7559782608695653
2017,12.866666666666665,9.590909090909092,42.0,52.0,0.258,570.2212947520002,19.666666666666668,18.75,3.710326086956518
2018,10.741666666666667,12.866666666666665,36.333333333333336,42.0,0.614,312.8090027700001,18.666666666666668,19.666666666666668,3.968478260869565
