,chl-a_lake,peak_date,peak_day,Pptn,Temp,Wind_speed,Q,TP_catch,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Temp_subzero
1980,27.1,1980-09-02,246.0,277.386475719,16.35524527197802,3.0384615384615383,270.706,75.0,43.757823130000006,,,43.0,6.0,18.0,44.0,20.0,6.0,0.0
1981,11.525,1981-09-01,244.0,228.800981218,15.086770284956046,3.7285714285714286,302.70200000000006,,31.277777779999997,,,27.0,7.0,10.0,27.0,41.0,16.0,0.0
1982,10.5,1982-08-18,230.0,135.376009094,16.524380171032966,3.597802197802197,108.506,57.0,33.77777777666667,,,22.0,5.0,8.0,29.0,35.0,15.0,0.0
1983,10.8,1983-07-26,207.0,200.660840124,14.052627319021976,4.01758241758242,245.76499999999996,,31.96,19.4,,32.0,5.0,4.0,24.0,45.0,22.0,0.0
1984,20.975,1984-08-29,242.0,243.053944538,16.154003195274722,3.7648351648351643,82.06099999999999,156.9818181818182,30.54,,,35.0,8.0,4.0,27.0,36.0,19.0,0.0
1985,21.3,1985-08-26,238.0,361.15530565200004,15.437712621967034,3.6186813186813187,409.5880000000001,65.42857142857142,33.520000001999996,32.166666666000005,,49.0,10.0,12.0,35.0,39.0,22.0,0.0
1986,17.33333333,1986-07-22,203.0,130.67546163,13.950345519186808,4.55824175824176,,127.67142857142858,33.333333333333336,31.444444446666665,,24.0,3.0,5.0,11.0,60.0,32.0,0.0
1987,13.9,1987-08-26,238.0,310.002932224,13.951117507835166,3.362637362637363,,98.45,24.0,30.233333333999997,,43.0,11.0,9.0,36.0,27.0,10.0,0.0
1988,17.36666667,1988-08-29,242.0,401.65800847200006,16.761232116043953,3.5725274725274736,,51.68636363636363,30.76,30.733333332,,46.0,14.0,8.0,33.0,31.0,16.0,0.0
1989,42.7,1989-08-07,219.0,193.33526256099998,15.206092613384614,4.163736263736262,,38.9,25.679999999999996,24.0,,27.0,6.0,2.0,17.0,46.0,25.0,0.0
1990,23.1,1990-08-06,218.0,187.281039845,15.215075827241755,3.8868131868131868,,47.15,29.520000000000003,21.0,,32.0,6.0,3.0,17.0,46.0,16.0,0.0
